industry,website,title,description,logo
Technology and Electronics,altair.com,Altair,"Altair is a global technology company providing software and cloud solutions in the areas of product development, high-performance computing (HPC) and artificial intelligence (AI). Altair enables organizations in nearly every industry to compete more effectively in a connected world, while creating a more sustainable future. With more than 3,000 engineers, scientists, and creative thinkers in 25 countries, we help solve our customer’s toughest challenges and deliver unparalleled service, helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities. Our vision is to transform customer decision making with data analytics, simulation, and high-performance computing and artificial intelligence (AI).",https://media.licdn.com/dms/image/C4E0BAQEX0LIP5oahnQ/company-logo_100_100/0/1587994967762/altair_engineering_logo?e=2147483647&v=beta&t=4WygnDQjfRGnaGopOqTcKTxCBj95c0C1UV_5YQo0Hes
Automotive,honda.com,"American Honda Motor Company, Inc.","Honda Motor Co., Ltd. engages in the manufacture and sale of automobiles, motorcycles, and power products. It operates through the following segments: Automobile, Motorcycle, Financial Services, and Power Product and Other Businesses. The Automobile segment manufactures and sells automobiles and related accessories. The Motorcycle segment handles all-terrain vehicles, motorcycle business, and related parts. The Financial Services segment provides financial and insurance services. The Power Product and Other Businesses segment offers power products and relevant parts. The company was founded by Soichiro Honda on September 24, 1948 and is headquartered in Tokyo, Japan.",https://media.licdn.com/dms/image/C4E0BAQHNId7SexC_OQ/company-logo_100_100/0/1519855863129?e=2147483647&v=beta&t=E4F_BrUOSQuviw8XB9p-HLpqKPjlgx_fIaqzNyeryJ0
Entertainment and Media,asmglobal.com,ASM Global,"As the world's leading venue management company and producer of live event experiences, ASM Global is the preeminent management and content partner with over 350 venues worldwide. Operating and investing in the world's most important stadiums, arenas, convention centers, and theaters requires unmatched dedication and the most profound expertise. No one else offers the benefits of global scale and best-in-class local operational execution to create value and drive profitability.",https://media.licdn.com/dms/image/D560BAQEjl0Wpi5U7yQ/company-logo_100_100/0/1665682240517?e=2147483647&v=beta&t=LfiY9AxMdwoK4SwcdD0fBNI-hCF-52hx9yhhCRJvmwI
Fashion and Beauty,chubbiesshorts.com,Chubbies Shorts,"Here at Chubbies, we believe in the weekend. We believe short shorts is a redundancy. But most importantly, we believe in our amazing and diverse employees. Without them, we couldn’t do a fraction of the things we have set out to do. We define ourselves by our fearless pursuit of fun and doing our part to make the world a better place. As an intern at Chubbies, you will have the opportunity to make the world a better place, one design at a time.",https://media.licdn.com/dms/image/D560BAQESCZCPUuqfPg/company-logo_100_100/0/1692367300795?e=2147483647&v=beta&t=QKX80VkMiHfyIpyyYrFya8Rv4R4Z2nok2nrDPIhSpm4
Design,cid-designgroup.com,CID Design Group,"CID Design Group is a creative design firm specializing in multifamily + hospitality interior design, branding, and design forecasting. Their work spans 39 states and over 60 cities and is grateful to design for 6 of the top 10 largest multifamily developers in the US. CID Design Group focuses on bringing a story to life through design that's bespoke and memorable, resulting in authentic and unique environments and experiences.",https://media.licdn.com/dms/image/C4E0BAQHe_lj_XTH5gw/company-logo_100_100/0/1521740637500?e=2147483647&v=beta&t=N6ZqYf-MJTnbq0RYpOwO5FlpiqVmGIW3S4jqgm4wGg4
Consulting,crbgroup.com,CRB,"CRB is a leading provider of sustainable engineering, architecture, construction and consulting solutions to the global life sciences and food and beverage industries. Our more than 1,600 employees provide best-in-class solutions that drive success and positive change for our clients, our people and our communities. CRB is a privately held company with a rich history of serving clients throughout the world, consistently striving for the highest standard of technical knowledge, creativity and execution.",https://media.licdn.com/dms/image/C560BAQHMCtkTw98Ksw/company-logo_100_100/0/1581610514736/crb_consulting_engineers_logo?e=2147483647&v=beta&t=nuzBvE-MLu81lJmLDsnq0iwYIPevsikSy3MmUkoI8QM
Architecture and Engineering,cushingterrell.com,Cushing Terrell,"Cushing Terrell was founded in 1938 by architects Ralph Cushing and Everett Terrell. Ralph and Everett acted on the belief that integrating architecture, engineering, and design opened the doors for deepened relationships and enhanced creativity: that belief was the beginning of our design practice and still defines us today.",https://media.licdn.com/dms/image/C560BAQHUIB2ibeiwRw/company-logo_100_100/0/1579292961666/cushing_terrell_logo?e=2147483647&v=beta&t=Q-7AkyrWdrFDIF8zrsnmcGvE6zvVbh14nxXKNMyMKzU
Entertainment and Media,daybreaker.com,DAYBREAKER,"DAYBREAKER is a morning movement that will start your day off unlike anything else. It is about being in the here and now, surrounded by amazing people, beautiful music, and an incredible vibe. It is about dancing your face off before work and feeling gloriously healthy while doing so. It is about love, it is about mindfulness, and it is about mischief.",https://media.licdn.com/dms/image/C4E0BAQG843oZsmHaLg/company-logo_100_100/0/1617725098672/daybreaker_logo?e=2147483647&v=beta&t=DOFejk9zqc36aGu3-Xt667-9sRlydTwgl3fR0vscE48
Information and Journalism,deeplocal.com,Deeplocal,"Deeplocal creates and builds experiences that help brands tell their stories and connect with their audiences in new, unexpected ways. We work in both digital and physical disciplines, though our projects find all kinds of ways to dissolve the boundaries between the two. Everything we do is rooted in culture and faithful to strategic insights about our audience. We want to get them talking about something amazing they’ve experienced—not about an advertising campaign.",https://media.licdn.com/dms/image/C4E0BAQF5AfjVfY4hWA/company-logo_100_100/0/1558100992997/deeplocal_logo?e=2147483647&v=beta&t=VqXpsCjGcNBS_ZeF1HgUozQGwUwVAtDRkCfO-sLr-hc
Environmental Sustainability,glumac.com,Glumac,"Glumac, A Tetra Tech Company, is a leader in Sustainable Design. Our mission is to engineer and commission “green buildings that work.""",https://media.licdn.com/dms/image/D560BAQFiBhwzE_bSeg/company-logo_100_100/0/1690482173562/glumac_logo?e=2147483647&v=beta&t=EBdz8936APNnJj7lDIP6P7jOB0xnm9Wc98dhcYN0Q5o
Sales and Marketing,golin.com,Golin,"Golin is a progressive public relations agency with expertise ranging from brand-building and cutting- edge digital content, to corporate reputation, healthcare advocacy and measurement. Golin aligns earned-first, data-driven creative with the customer journey, to deliver maximum impact for clients and reach a profoundly diverse global market. “Go All In” is the agency’s ethos and commitment to bravery over mediocrity.",https://media.licdn.com/dms/image/C4E0BAQHmoOKejpGKjw/company-logo_100_100/0/1624549078949?e=2147483647&v=beta&t=Bi0CbEYNDBHAf4Gqz2fS4oW3TqvdYyhoW5AxBbn_Aqo
